Timepoint,Usage
2025-10-08 21:00:00,4.7
2025-10-08 22:00:00,3.9
2025-10-08 23:00:00,2.6
2025-10-09 0:00:00,1.3
2025-10-09 1:00:00,1.0988
2025-10-09 2:00:00,1.1012
2025-10-09 3:00:00,1.2
2025-10-09 4:00:00,1.4
2025-10-09 5:00:00,1.3
2025-10-09 6:00:00,2.6
2025-10-09 7:00:00,5.9
2025-10-09 8:00:00,10.7
2025-10-09 9:00:00,11.4
2025-10-09 10:00:00,15.4
2025-10-09 11:00:00,15.1
2025-10-09 12:00:00,13.2
2025-10-09 13:00:00,14.8
2025-10-09 14:00:00,15.7
2025-10-09 15:00:00,15.4
2025-10-09 16:00:00,16
2025-10-09 17:00:00,14.3
2025-10-09 18:00:00,12.2
2025-10-09 19:00:00,8.6
2025-10-09 20:00:00,7.6
2025-10-09 21:00:00,5.3
2025-10-09 22:00:00,4.5
2025-10-09 23:00:00,3.1
2025-10-10 0:00:00,1.3
2025-10-10 1:00:00,1.1
2025-10-10 2:00:00,3.2
2025-10-10 3:00:00,3.9
2025-10-10 4:00:00,2.9
2025-10-10 5:00:00,2.7
2025-10-10 6:00:00,3.4
2025-10-10 7:00:00,7
2025-10-10 8:00:00,11.7
2025-10-10 9:00:00,12.6
2025-10-10 10:00:00,14.5
2025-10-10 11:00:00,15.6
2025-10-10 12:00:00,15.7
2025-10-10 13:00:00,14.6
2025-10-10 14:00:00,13.9
2025-10-10 15:00:00,13.2
2025-10-10 16:00:00,15.2
2025-10-10 17:00:00,14
2025-10-10 18:00:00,11.6
2025-10-10 19:00:00,8.2
2025-10-10 20:00:00,7
2025-10-10 21:00:00,7
2025-10-10 22:00:00,6.6
2025-10-10 23:00:00,3.7
2025-10-11 0:00:00,1.1
2025-10-11 1:00:00,1.1988
2025-10-11 2:00:00,1.2012
2025-10-11 3:00:00,2.4
2025-10-11 4:00:00,2
2025-10-11 5:00:00,2.1
2025-10-11 6:00:00,4.5
2025-10-11 7:00:00,10.7
2025-10-11 8:00:00,11.9
2025-10-11 9:00:00,12.3
2025-10-11 10:00:00,13.6
2025-10-11 11:00:00,12.1
2025-10-11 12:00:00,11.9
2025-10-11 13:00:00,12.7
2025-10-11 14:00:00,10.4
2025-10-11 15:00:00,10.1
2025-10-11 16:00:00,9
2025-10-11 17:00:00,11.2
2025-10-11 18:00:00,9.3
2025-10-11 19:00:00,7
2025-10-11 20:00:00,6.8
2025-10-11 21:00:00,7.6
2025-10-11 22:00:00,6.4
2025-10-11 23:00:00,3.4
2025-10-12 0:00:00,0.9
2025-10-12 1:00:00,1.1988
2025-10-12 2:00:00,1.2012
2025-10-12 3:00:00,1.6
2025-10-12 4:00:00,2.1
2025-10-12 5:00:00,2.8
2025-10-12 6:00:00,3.6
2025-10-12 7:00:00,4.7
2025-10-12 8:00:00,5.8
2025-10-12 9:00:00,6.5
2025-10-12 10:00:00,8.3
